Time|Temperature|Precipitation|Humidity|Wind|Datetime|Day
20110220T0600|2.6505284|1.1|90.0|9.504272|2011-02-20T06:00:00.000+01:00|2011-02-20
20110220T0700|2.4105287|1.3|94.0|9.360001|2011-02-20T07:00:00.000+01:00|2011-02-20
20110220T0800|2.4905286|1.3|94.0|10.028439|2011-02-20T08:00:00.000+01:00|2011-02-20
20110220T0900|2.7305286|1.3|92.0|10.00256|2011-02-20T09:00:00.000+01:00|2011-02-20
20110220T1000|3.0905285|0.8|91.0|9.659814|2011-02-20T10:00:00.000+01:00|2011-02-20
20110220T1100|3.5805285|0.4|90.0|8.311245|2011-02-20T11:00:00.000+01:00|2011-02-20
20110220T1200|3.9005284|0.5|90.0|6.28713|2011-02-20T12:00:00.000+01:00|2011-02-20
20110220T1300|4.0605288|0.5|91.0|5.0528407|2011-02-20T13:00:00.000+01:00|2011-02-20
20110220T1400|3.9905286|0.8|92.0|3.2399998|2011-02-20T14:00:00.000+01:00|2011-02-20
20110220T1500|4.4205284|0.4|91.0|1.08|2011-02-20T15:00:00.000+01:00|2011-02-20
20110220T1600|4.4405284|0.1|92.0|1.8|2011-02-20T16:00:00.000+01:00|2011-02-20
20110220T1700|3.8405285|0.2|94.0|4.39436|2011-02-20T17:00:00.000+01:00|2011-02-20
20110220T1800|3.4405286|0.3|94.0|5.1544156|2011-02-20T18:00:00.000+01:00|2011-02-20
20110220T1900|3.5405285|0.4|94.0|1.8|2011-02-20T19:00:00.000+01:00|2011-02-20
20110220T2000|3.9805286|0.1|94.0|2.4149535|2011-02-20T20:00:00.000+01:00|2011-02-20
20110220T2100|4.1305285|0.0|93.0|4.896529|2011-02-20T21:00:00.000+01:00|2011-02-20
20110220T2200|4.0505285|0.1|95.0|5.6233797|2011-02-20T22:00:00.000+01:00|2011-02-20
20110220T2300|3.8405285|0.1|95.0|4.8433046|2011-02-20T23:00:00.000+01:00|2011-02-20
20110221T0000|3.7205286|0.1|96.0|4.39436|2011-02-21T00:00:00.000+01:00|2011-02-21
20110221T0100|3.6505284|0.2|95.0|4.6800003|2011-02-21T01:00:00.000+01:00|2011-02-21
20110221T0200|3.4905286|0.2|95.0|4.510787|2011-02-21T02:00:00.000+01:00|2011-02-21
20110221T0300|3.3705285|0.4|97.0|3.7585104|2011-02-21T03:00:00.000+01:00|2011-02-21
20110221T0400|2.7905285|0.1|96.0|0.35999998|2011-02-21T04:00:00.000+01:00|2011-02-21
20110221T0500|2.5005286|0.0|96.0|4.0249224|2011-02-21T05:00:00.000+01:00|2011-02-21
20110221T0600|1.7505287|0.0|96.0|6.519877|2011-02-21T06:00:00.000+01:00|2011-02-21
20110221T0700|0.87052864|0.0|95.0|6.0347|2011-02-21T07:00:00.000+01:00|2011-02-21
